kategorie,aktivitaet,geschlecht,durchschnittliche_zeit_h,anteil_ausuebende_prozent,zeit_ausuebende_h,differenz_anteil,differenz_zeit,differenz_rel
Aus- und Weiterbildung,Wege für Aus- und Weiterbildung,Männer,0.06666666666666667,8.1,1.1,0.5,0,5.9880239520958085
Sorgearbeit in Haushalt und Familie,Sorgearbeit in Haushalt und Familie - Gesamt,Frauen,3.6166666666666667,95.5,4.083333333333333,8,1.5166666666666666,8.743169398907105
Sorgearbeit in Haushalt und Familie,Sorgearbeit in Haushalt und Familie - Gesamt,Männer,2.1,87.5,2.85,8,1.5166666666666666,8.743169398907105
Sorgearbeit in Haushalt und Familie,Nicht näher bestimmte Sorgearbeit in Haushalt und Familie,Frauen,0.1,10.5,1.4666666666666668,5.7,0.06666666666666668,74.50980392156863
Sorgearbeit in Haushalt und Familie,Nicht näher bestimmte Sorgearbeit in Haushalt und Familie,Männer,0.03333333333333333,4.8,1.0666666666666667,5.7,0.06666666666666668,74.50980392156863
Sorgearbeit in Haushalt und Familie,Nahrungsmittelzubereitung,Frauen,0.8333333333333334,81.2,1.2333333333333334,30,0.5166666666666667,45.31722054380665
Sorgearbeit in Haushalt und Familie,Nahrungsmittelzubereitung,Männer,0.31666666666666665,51.2,0.8666666666666667,30,0.5166666666666667,45.31722054380665
Sorgearbeit in Haushalt und Familie,Geschirr abwaschen,Frauen,0.13333333333333333,38.7,0.5166666666666667,18.700000000000003,0.08333333333333333,63.7137989778535
Sorgearbeit in Haushalt und Familie,Geschirr abwaschen,Männer,0.05,20,0.43333333333333335,18.700000000000003,0.08333333333333333,63.7137989778535
Sorgearbeit in Haushalt und Familie,Konservieren und Lagern von Nahrungsmitteln,Frauen,0.016666666666666666,2,1.1833333333333333,1.4,0,107.6923076923077
Sorgearbeit in Haushalt und Familie,Konservieren und Lagern von Nahrungsmitteln,Männer,0.016666666666666666,0.6,2.3166666666666664,1.4,0,107.6923076923077
Sorgearbeit in Haushalt und Familie,Aufräumen und Reinigung von Wohnung oder Haus,Frauen,0.6166666666666667,66.7,1.25,31.800000000000004,0.4,62.59842519685041
Sorgearbeit in Haushalt und Familie,Aufräumen und Reinigung von Wohnung oder Haus,Männer,0.21666666666666667,34.9,1.0666666666666667,31.800000000000004,0.4,62.59842519685041
Sorgearbeit in Haushalt und Familie,Aufräumen und Reinigung von Außenflächen und Garten,Frauen,0.016666666666666666,4,0.8166666666666667,-1.4000000000000004,-0.016666666666666666,-29.787234042553195
Sorgearbeit in Haushalt und Familie,Aufräumen und Reinigung von Außenflächen und Garten,Männer,0.03333333333333333,5.4,1.1833333333333333,-1.4000000000000004,-0.016666666666666666,-29.787234042553195
Sorgearbeit in Haushalt und Familie,Beheizung von Wohnung oder Haus und Warmwasseraufbereitung,Frauen,0.016666666666666666,2.9,0.5833333333333334,-2.4,-0.03333333333333334,-58.53658536585367
Sorgearbeit in Haushalt und Familie,Beheizung von Wohnung oder Haus und Warmwasseraufbereitung,Männer,0.05,5.3,1.4833333333333334,-2.4,-0.03333333333333334,-58.53658536585367
Sorgearbeit in Haushalt und Familie,"Ordnen, Verräumen und Vorbereiten im Haushalt",Frauen,0.16666666666666666,39.1,0.6666666666666666,12.3,0.06666666666666665,37.329286798179055
Sorgearbeit in Haushalt und Familie,"Ordnen, Verräumen und Vorbereiten im Haushalt",Männer,0.1,26.8,0.6333333333333333,12.3,0.06666666666666665,37.329286798179055
Sorgearbeit in Haushalt und Familie,Müll sortieren und entsorgen,Frauen,0,4.6,0.3,-0.20000000000000018,-0.016666666666666666,-4.255319148936175
Sorgearbeit in Haushalt und Familie,Müll sortieren und entsorgen,Männer,0.016666666666666666,4.8,0.4,-0.20000000000000018,-0.016666666666666666,-4.255319148936175
Sorgearbeit in Haushalt und Familie,Andere und nicht näher bestimmte Reinigung und Ordnung,Frauen,0,3.5,0.4166666666666667,1.9,0,74.50980392156863
Sorgearbeit in Haushalt und Familie,Andere und nicht näher bestimmte Reinigung und Ordnung,Männer,0,1.6,0.35,1.9,0,74.50980392156863
Sorgearbeit in Haushalt und Familie,Wäsche waschen,Frauen,0.13333333333333333,32.1,0.7,24.3,0.11666666666666667,121.80451127819549
Sorgearbeit in Haushalt und Familie,Wäsche waschen,Männer,0.016666666666666666,7.8,0.6,24.3,0.11666666666666667,121.80451127819549
Sorgearbeit in Haushalt und Familie,Bügeln,Frauen,0.08333333333333333,16.4,0.9833333333333333,15.099999999999998,0.08333333333333333,170.62146892655366
Sorgearbeit in Haushalt und Familie,Bügeln,Männer,0,1.3,0.8666666666666667,15.099999999999998,0.08333333333333333,170.62146892655366
Sorgearbeit in Haushalt und Familie,Andere und nicht näher bestimmte Pflege und Instandhaltung von Textilien,Frauen,0,1.4,0.7,0.7,0,66.66666666666667
Sorgearbeit in Haushalt und Familie,Andere und nicht näher bestimmte Pflege und Instandhaltung von Textilien,Männer,0,0.7,0.6833333333333333,0.7,0,66.66666666666667
Sorgearbeit in Haushalt und Familie,Gartenarbeiten,Frauen,0.16666666666666666,17.1,1.5666666666666667,0.7000000000000028,-0.05000000000000002,4.179104477611957
Sorgearbeit in Haushalt und Familie,Gartenarbeiten,Männer,0.21666666666666667,16.4,2.066666666666667,0.7000000000000028,-0.05000000000000002,4.179104477611957
Sorgearbeit in Haushalt und Familie,Nutztiere versorgen,Frauen,0.03333333333333333,3.8,1.5,0.19999999999999973,-0.01666666666666667,5.405405405405398
Sorgearbeit in Haushalt und Familie,Nutztiere versorgen,Männer,0.05,3.6,2.3333333333333335,0.19999999999999973,-0.01666666666666667,5.405405405405398
Sorgearbeit in Haushalt und Familie,Haustiere versorgen,Frauen,0.05,12.4,0.5166666666666667,5.7,0.03333333333333334,59.68586387434554
Sorgearbeit in Haushalt und Familie,Haustiere versorgen,Männer,0.016666666666666666,6.7,0.5333333333333333,5.7,0.03333333333333334,59.68586387434554
Sorgearbeit in Haushalt und Familie,Mit dem Hund spazieren gehen,Frauen,0.11666666666666667,10.7,1.3833333333333333,1.6999999999999993,0.016666666666666663,17.258883248730957
Sorgearbeit in Haushalt und Familie,Mit dem Hund spazieren gehen,Männer,0.1,9,1.5,1.6999999999999993,0.016666666666666663,17.258883248730957
Sorgearbeit in Haushalt und Familie,Renovierungs- und Bauarbeiten an der Wohnung oder am Haus,Frauen,0.016666666666666666,0.7,2.3833333333333333,-2.0999999999999996,-0.03333333333333334,-119.99999999999997
Sorgearbeit in Haushalt und Familie,Renovierungs- und Bauarbeiten an der Wohnung oder am Haus,Männer,0.05,2.8,3.466666666666667,-2.0999999999999996,-0.03333333333333334,-119.99999999999997
Sorgearbeit in Haushalt und Familie,Reparaturen in der Wohnung oder im Haus,Frauen,0,1.2,1.3166666666666667,-1.4000000000000001,-0.016666666666666666,-73.6842105263158
Sorgearbeit in Haushalt und Familie,Reparaturen in der Wohnung oder im Haus,Männer,0.016666666666666666,2.6,1.95,-1.4000000000000001,-0.016666666666666666,-73.6842105263158
Sorgearbeit in Haushalt und Familie,"Herstellung, Reparatur und Instandhaltung von Gebrauchsgegenständen",Frauen,0.016666666666666666,1.8,1.1833333333333333,-2.8,-0.016666666666666666,-87.5
Sorgearbeit in Haushalt und Familie,"Herstellung, Reparatur und Instandhaltung von Gebrauchsgegenständen",Männer,0.03333333333333333,4.6,1.4333333333333333,-2.8,-0.016666666666666666,-87.5
Sorgearbeit in Haushalt und Familie,Fahrzeugerhaltung (in Eigenarbeit),Frauen,0,2.2,0.6666666666666666,-5.6,-0.05,-111.99999999999999
Sorgearbeit in Haushalt und Familie,Fahrzeugerhaltung (in Eigenarbeit),Männer,0.05,7.8,1.2833333333333332,-5.6,-0.05,-111.99999999999999
Sorgearbeit in Haushalt und Familie,Einkaufen (inkl. Online-Shopping),Frauen,0.38333333333333336,55.6,1.0333333333333334,11.100000000000001,0.10000000000000003,22.177822177822183
Sorgearbeit in Haushalt und Familie,Einkaufen (inkl. Online-Shopping),Männer,0.2833333333333333,44.5,1.0166666666666666,11.100000000000001,0.10000000000000003,22.177822177822183
Sorgearbeit in Haushalt und Familie,Inanspruchnahme von kommerziellen und administrativen Dienstleistungen,Frauen,0.016666666666666666,4.7,0.6,-1.5,-0.016666666666666666,-27.522935779816514
Sorgearbeit in Haushalt und Familie,Inanspruchnahme von kommerziellen und administrativen Dienstleistungen,Männer,0.03333333333333333,6.2,0.8833333333333333,-1.5,-0.016666666666666666,-27.522935779816514
Sorgearbeit in Haushalt und Familie,Haushaltsmanagement,Frauen,0.03333333333333333,9.4,0.6,2.1000000000000005,0,25.149700598802404
Sorgearbeit in Haushalt und Familie,Haushaltsmanagement,Männer,0.03333333333333333,7.3,0.85,2.1000000000000005,0,25.149700598802404
Sorgearbeit in Haushalt und Familie,Versorgung und Beaufsichtungung des Kindes,Frauen,0.21666666666666667,14.4,1.6833333333333333,5.300000000000001,0.13333333333333336,45.10638297872341
Sorgearbeit in Haushalt und Familie,Versorgung und Beaufsichtungung des Kindes,Männer,0.08333333333333333,9.1,1.1833333333333333,5.300000000000001,0.13333333333333336,45.10638297872341
Sorgearbeit in Haushalt und Familie,Mit dem Kind lernen und üben,Frauen,0.03333333333333333,4.8,1.1333333333333333,3.0999999999999996,0.016666666666666666,95.38461538461537
Sorgearbeit in Haushalt und Familie,Mit dem Kind lernen und üben,Männer,0.016666666666666666,1.7,1.0166666666666666,3.0999999999999996,0.016666666666666666,95.38461538461537
Sorgearbeit in Haushalt und Familie,"Mit dem Kind lesen, spielen und reden",Frauen,0.15,12.4,1.6833333333333333,3.9000000000000004,0.06666666666666667,37.320574162679435
Sorgearbeit in Haushalt und Familie,"Mit dem Kind lesen, spielen und reden",Männer,0.08333333333333333,8.5,1.4333333333333333,3.9000000000000004,0.06666666666666667,37.320574162679435
Sorgearbeit in Haushalt und Familie,Das Kind zu Terminen und Aktivitäten begleiten,Frauen,0.016666666666666666,3.1,1,1.8,0.016666666666666666,81.81818181818181
Sorgearbeit in Haushalt und Familie,Das Kind zu Terminen und Aktivitäten begleiten,Männer,0,1.3,1.0333333333333334,1.8,0.016666666666666666,81.81818181818181
Sorgearbeit in Haushalt und Familie,Körperpflege und medizinische Versorgung eines erwachsenen Haushaltsmitglieds,Frauen,0.016666666666666666,1.9,1.7,1.2999999999999998,0,103.99999999999999
Sorgearbeit in Haushalt und Familie,Körperpflege und medizinische Versorgung eines erwachsenen Haushaltsmitglieds,Männer,0.016666666666666666,0.6,1.7666666666666666,1.2999999999999998,0,103.99999999999999
